Academic Year,Program Type,Enrollment Date
2025-2026,Elementary School,6/7/2026
2025-2026,Middle School,3/1/2026
2025-2026,Elementary School,7/15/2025
2025-2026,Middle School,4/13/2026
2025-2026,Middle School,8/27/2025
2025-2026,Elementary School,5/9/2026
2025-2026,High School,5/4/2026
2025-2026,Middle School,6/22/2026
2025-2026,Elementary School,5/21/2026
2025-2026,Elementary School,8/21/2025
2025-2026,Elementary School,5/11/2026
2025-2026,Middle School,3/22/2026
2025-2026,Middle School,7/2/2025
2025-2026,Elementary School,5/24/2026
2025-2026,Middle School,6/10/2026
2025-2026,Middle School,5/5/2026
2025-2026,Middle School,6/1/2026
2025-2026,Middle School,5/5/2026
2025-2026,Elementary School,5/18/2026
2025-2026,Elementary School,7/7/2025
2025-2026,Elementary School,5/5/2026
2025-2026,Elementary School,7/19/2025
2025-2026,High School,4/23/2026
2025-2026,Elementary School,4/11/2026
2025-2026,Middle School,5/8/2026
2025-2026,Elementary School,6/26/2026
2025-2026,High School,6/28/2026
2025-2026,High School,3/23/2026
2025-2026,Elementary School,5/3/2026
2025-2026,Elementary School,3/28/2026
2025-2026,High School,8/17/2025
2025-2026,Elementary School,4/22/2026
2025-2026,Middle School,3/18/2026
2025-2026,Elementary School,4/13/2026
2025-2026,High School,4/21/2026
2025-2026,Middle School,6/13/2026
2025-2026,Elementary School,4/16/2026
2025-2026,Elementary School,2/21/2026
2025-2026,High School,6/27/2026
2025-2026,Elementary School,5/9/2026
2025-2026,Elementary School,10/16/2025
2025-2026,Middle School,5/8/2026
2025-2026,Elementary School,2/18/2026
2025-2026,Middle School,3/27/2026
2025-2026,High School,6/6/2026
2025-2026,Elementary School,3/24/2026
2025-2026,Elementary School,4/5/2026
2025-2026,Middle School,4/27/2026
2025-2026,Elementary School,6/26/2026
2025-2026,High School,4/28/2026
2025-2026,Middle School,7/8/2025
2025-2026,Middle School,6/17/2026
2025-2026,Elementary School,2/28/2026
2025-2026,High School,8/19/2025
2025-2026,Elementary School,4/18/2026
2025-2026,Middle School,3/7/2026
2025-2026,Elementary School,6/11/2026
2025-2026,Middle School,5/16/2026
2025-2026,Elementary School,1/11/2026
2025-2026,High School,4/6/2026
2025-2026,Elementary School,7/11/2025
2025-2026,Elementary School,5/7/2026
2025-2026,Middle School,5/2/2026
2025-2026,High School,8/5/2025
2025-2026,High School,5/19/2026
2025-2026,Elementary School,6/27/2026
2025-2026,Elementary School,6/1/2026
2025-2026,Middle School,6/28/2026
2025-2026,Elementary School,6/24/2026
2025-2026,High School,8/2/2025
2025-2026,Middle School,4/1/2026
2025-2026,Elementary School,4/11/2026
2025-2026,Elementary School,5/12/2026
2025-2026,Elementary School,4/23/2026
2025-2026,High School,3/23/2026
2025-2026,Elementary School,3/19/2026
2025-2026,Elementary School,4/17/2026
2025-2026,High School,6/4/2026
2025-2026,Elementary School,1/6/2026
2025-2026,High School,7/19/2025
2025-2026,High School,6/16/2026
2025-2026,High School,7/14/2025
2025-2026,High School,7/19/2025
2025-2026,High School,3/18/2026
2025-2026,Middle School,5/17/2026
2025-2026,Elementary School,4/5/2026
2025-2026,Elementary School,5/28/2026
2025-2026,Elementary School,2/20/2026
2025-2026,High School,8/10/2025
2025-2026,Middle School,6/4/2026
2025-2026,Middle School,5/12/2026
2025-2026,Elementary School,8/7/2025
2025-2026,Middle School,2/27/2026
2025-2026,High School,9/28/2025
2025-2026,Elementary School,5/8/2026
2025-2026,High School,3/23/2026
2025-2026,Middle School,7/1/2025
2025-2026,High School,10/21/2025
2025-2026,Middle School,2/1/2026
2025-2026,High School,5/12/2026
2025-2026,High School,11/9/2025
2025-2026,Middle School,5/19/2026
2025-2026,Elementary School,7/16/2025
2025-2026,Elementary School,6/20/2026
2025-2026,Middle School,5/5/2026
2025-2026,Middle School,6/1/2026
2025-2026,Elementary School,4/26/2026
2025-2026,Elementary School,1/2/2026
2025-2026,Middle School,5/25/2026
2025-2026,Middle School,11/27/2025
2025-2026,High School,8/25/2025
2025-2026,Middle School,4/7/2026
2025-2026,High School,4/12/2026
2025-2026,Middle School,5/23/2026
2025-2026,Elementary School,6/14/2026
2025-2026,High School,5/9/2026
2025-2026,Elementary School,5/10/2026
2025-2026,Elementary School,4/23/2026
2025-2026,Elementary School,5/27/2026
2025-2026,High School,5/4/2026
2025-2026,High School,6/16/2026
2025-2026,High School,11/21/2025
2025-2026,Elementary School,9/5/2025
2025-2026,Elementary School,5/25/2026
2025-2026,Middle School,10/7/2025
2025-2026,Elementary School,5/11/2026
2025-2026,Middle School,4/19/2026
2025-2026,Elementary School,3/18/2026
2025-2026,Elementary School,7/20/2025
2025-2026,High School,3/15/2026
2025-2026,Elementary School,7/16/2025
2025-2026,Middle School,1/6/2026
2025-2026,Elementary School,3/17/2026
2025-2026,High School,5/6/2026
2025-2026,Elementary School,1/22/2026
2025-2026,Middle School,3/20/2026
2025-2026,Elementary School,1/3/2026
2025-2026,Elementary School,1/2/2026
2025-2026,Middle School,2/20/2026
2025-2026,Middle School,5/26/2026
2025-2026,High School,4/8/2026
2025-2026,Middle School,6/12/2026
2025-2026,High School,4/2/2026
2025-2026,Elementary School,6/16/2026
2025-2026,Elementary School,2/19/2026
2025-2026,Elementary School,6/5/2026
2025-2026,Middle School,5/10/2026
2025-2026,Middle School,5/3/2026
2025-2026,Middle School,5/12/2026
2025-2026,Elementary School,1/18/2026
2025-2026,Elementary School,5/15/2026
2025-2026,High School,7/25/2025
2025-2026,Middle School,4/3/2026
2025-2026,Elementary School,4/1/2026
2025-2026,High School,6/4/2026
2025-2026,High School,7/2/2025
2025-2026,Elementary School,4/26/2026
2025-2026,High School,4/21/2026
2025-2026,Elementary School,2/17/2026
2025-2026,Middle School,4/8/2026
2025-2026,Elementary School,11/5/2025
2025-2026,High School,4/15/2026
2025-2026,High School,6/7/2026
2025-2026,Middle School,8/13/2025
2025-2026,Elementary School,6/6/2026
2025-2026,Elementary School,4/9/2026
2025-2026,High School,4/28/2026
2025-2026,High School,5/5/2026
2025-2026,Elementary School,10/19/2025
2025-2026,Elementary School,2/9/2026
2025-2026,Elementary School,6/8/2026
2025-2026,Middle School,4/24/2026
2025-2026,Elementary School,1/2/2026
2025-2026,High School,5/12/2026
2025-2026,Elementary School,1/16/2026
2025-2026,Middle School,5/15/2026
2025-2026,Middle School,5/5/2026
2025-2026,Elementary School,5/26/2026
2025-2026,Middle School,6/4/2026
2025-2026,High School,5/9/2026
2025-2026,Elementary School,4/17/2026
2025-2026,Elementary School,4/12/2026
2025-2026,High School,3/14/2026
2025-2026,Elementary School,8/27/2025
2025-2026,Middle School,3/10/2026
2025-2026,High School,5/12/2026
2025-2026,Middle School,5/8/2026
2025-2026,Middle School,5/4/2026
2025-2026,High School,4/8/2026
2025-2026,Elementary School,9/24/2025
2025-2026,High School,4/2/2026
2025-2026,High School,3/17/2026
2025-2026,High School,4/18/2026
2025-2026,Elementary School,9/2/2025
2025-2026,Middle School,5/21/2026
2025-2026,Elementary School,2/17/2026
2025-2026,Elementary School,6/3/2026
2025-2026,Elementary School,1/2/2026
2025-2026,Elementary School,6/10/2026
2025-2026,Elementary School,5/24/2026
2025-2026,Elementary School,5/20/2026
2025-2026,Elementary School,4/28/2026
2025-2026,Elementary School,5/21/2026
2025-2026,High School,7/11/2025
2025-2026,Elementary School,6/12/2026
2025-2026,Elementary School,4/16/2026
2025-2026,Middle School,6/17/2026
2025-2026,Middle School,4/10/2026
2025-2026,Elementary School,5/24/2026
2025-2026,Middle School,8/11/2025
2025-2026,Elementary School,5/26/2026
2025-2026,High School,9/23/2025
2025-2026,High School,5/13/2026
2025-2026,Middle School,5/20/2026
2025-2026,High School,3/6/2026
2025-2026,High School,5/20/2026
2025-2026,High School,4/13/2026
2025-2026,Elementary School,5/18/2026
2025-2026,Elementary School,5/4/2026
2025-2026,Middle School,6/9/2026
2025-2026,Elementary School,11/8/2025
2025-2026,Elementary School,1/9/2026
2025-2026,Elementary School,4/15/2026
2025-2026,Elementary School,3/19/2026
2025-2026,Elementary School,5/27/2026
2025-2026,High School,6/20/2026
2025-2026,Middle School,5/19/2026
2025-2026,Elementary School,7/13/2025
2025-2026,Elementary School,4/7/2026
2025-2026,High School,3/12/2026
2025-2026,Elementary School,2/13/2026
2025-2026,Elementary School,6/3/2026
2025-2026,High School,5/21/2026
2025-2026,Middle School,2/25/2026
2025-2026,Middle School,4/20/2026
2025-2026,High School,2/17/2026
2025-2026,Middle School,1/18/2026
2025-2026,Elementary School,6/3/2026
2025-2026,Elementary School,6/26/2026
2025-2026,High School,6/18/2026
2025-2026,High School,5/21/2026
2025-2026,High School,3/1/2026
2025-2026,Middle School,5/24/2026
2025-2026,High School,4/19/2026
2025-2026,Elementary School,5/1/2026
2025-2026,Elementary School,2/2/2026
2025-2026,Elementary School,8/5/2025
2025-2026,Elementary School,3/18/2026
2025-2026,Elementary School,5/1/2026
2025-2026,Middle School,4/9/2026
2025-2026,High School,7/14/2025
2025-2026,Elementary School,11/10/2025
2025-2026,Elementary School,7/21/2025
2025-2026,Elementary School,3/3/2026
2025-2026,High School,5/5/2026
2025-2026,Elementary School,6/19/2026
2025-2026,Elementary School,9/20/2025
2025-2026,Elementary School,3/27/2026
2025-2026,Elementary School,4/17/2026
2025-2026,Middle School,12/3/2025
2025-2026,Elementary School,2/11/2026
2025-2026,Middle School,1/5/2026
2025-2026,Elementary School,7/3/2025
2025-2026,Middle School,5/14/2026
2025-2026,Middle School,7/10/2025
2025-2026,High School,7/18/2025
2025-2026,Middle School,9/23/2025
2025-2026,Middle School,6/19/2026
2025-2026,Middle School,4/16/2026
2025-2026,High School,4/27/2026
2025-2026,Elementary School,4/9/2026
2025-2026,Elementary School,5/1/2026
2025-2026,Middle School,7/16/2025
2025-2026,Middle School,6/5/2026
2025-2026,High School,6/12/2026
2025-2026,Elementary School,4/18/2026
2025-2026,Elementary School,4/9/2026
2025-2026,Elementary School,8/2/2025
2025-2026,Middle School,5/10/2026
2025-2026,Middle School,1/18/2026
2025-2026,High School,6/7/2026
2025-2026,Elementary School,4/28/2026
2025-2026,Elementary School,5/26/2026
2025-2026,Elementary School,8/27/2025
2025-2026,Elementary School,6/8/2026
2025-2026,High School,5/28/2026
2025-2026,Elementary School,7/22/2025
2025-2026,Elementary School,4/25/2026
2025-2026,Middle School,6/9/2026
2025-2026,Elementary School,4/21/2026
2025-2026,Elementary School,4/22/2026
2025-2026,Elementary School,1/2/2026
2025-2026,High School,5/18/2026
2025-2026,Elementary School,9/22/2025
2025-2026,Elementary School,7/27/2025
2025-2026,Elementary School,1/15/2026
2025-2026,Elementary School,6/7/2026
2025-2026,Elementary School,4/5/2026
2025-2026,Elementary School,5/26/2026
2025-2026,Middle School,5/27/2026
2025-2026,Middle School,3/8/2026
2025-2026,High School,4/15/2026
2025-2026,Elementary School,7/23/2025
2025-2026,Elementary School,5/20/2026
2025-2026,Elementary School,7/26/2025
2025-2026,Elementary School,6/1/2026
2025-2026,High School,5/1/2026
2025-2026,Middle School,8/9/2025
2025-2026,High School,5/14/2026
2025-2026,Middle School,9/25/2025
2025-2026,High School,4/22/2026
2025-2026,High School,3/27/2026
2025-2026,Elementary School,8/20/2025
2025-2026,Middle School,2/11/2026
2025-2026,Middle School,4/9/2026
2025-2026,Middle School,5/11/2026
2025-2026,Middle School,5/18/2026
2025-2026,Middle School,4/18/2026
2025-2026,High School,5/26/2026
2025-2026,High School,5/24/2026
2025-2026,Middle School,1/1/2026
2025-2026,Elementary School,5/26/2026
2025-2026,Elementary School,6/18/2026
2025-2026,Elementary School,5/14/2026
2025-2026,Elementary School,10/19/2025
2025-2026,Elementary School,6/15/2026
2025-2026,Elementary School,5/25/2026
2025-2026,High School,4/16/2026
2025-2026,Elementary School,4/28/2026
2025-2026,Middle School,4/27/2026
2025-2026,Elementary School,6/22/2026
2025-2026,Elementary School,11/3/2025
2025-2026,Elementary School,3/25/2026
2025-2026,Middle School,7/27/2025
2025-2026,Middle School,5/3/2026
2025-2026,High School,1/2/2026
2025-2026,Elementary School,5/4/2026
2025-2026,Elementary School,4/5/2026
2025-2026,High School,7/10/2025
2025-2026,Elementary School,5/21/2026
2025-2026,Elementary School,10/1/2025
2025-2026,Elementary School,6/6/2026
2025-2026,Elementary School,8/19/2025
2025-2026,Elementary School,3/13/2026
2025-2026,Elementary School,6/9/2026
2025-2026,Elementary School,6/3/2026
2025-2026,Elementary School,6/28/2026
2025-2026,Elementary School,5/16/2026
2025-2026,High School,3/11/2026
2025-2026,Middle School,5/5/2026
2025-2026,Elementary School,3/21/2026
2025-2026,Middle School,5/15/2026
2025-2026,High School,8/20/2025
2025-2026,Elementary School,1/26/2026
2025-2026,High School,6/25/2026
2025-2026,High School,8/9/2025
2025-2026,Middle School,7/4/2025
2025-2026,Elementary School,1/22/2026
2025-2026,Middle School,5/5/2026
2025-2026,Elementary School,2/25/2026
2025-2026,Elementary School,9/17/2025
2025-2026,Elementary School,6/13/2026
2025-2026,High School,4/13/2026
2025-2026,Elementary School,4/22/2026
2025-2026,Elementary School,5/28/2026
2025-2026,Middle School,4/17/2026
2025-2026,Middle School,1/12/2026
2025-2026,High School,8/25/2025
2025-2026,Elementary School,6/21/2026
2025-2026,Elementary School,6/21/2026
2025-2026,Middle School,1/13/2026
2025-2026,Elementary School,4/8/2026
2025-2026,Elementary School,7/9/2025
2025-2026,Middle School,4/22/2026
2025-2026,Middle School,7/7/2025
2025-2026,Elementary School,4/1/2026
2025-2026,Middle School,4/9/2026
2025-2026,Elementary School,6/24/2026
2025-2026,High School,3/15/2026
2025-2026,Middle School,6/8/2026
2025-2026,Middle School,4/18/2026
2025-2026,High School,9/10/2025
2025-2026,Elementary School,9/27/2025
2025-2026,Elementary School,8/5/2025
2025-2026,Elementary School,3/27/2026
2025-2026,Elementary School,1/10/2026
2025-2026,Elementary School,5/28/2026
2025-2026,Middle School,6/26/2026
2025-2026,Elementary School,3/25/2026
2025-2026,Elementary School,7/14/2025
2025-2026,Middle School,5/26/2026
2025-2026,Elementary School,6/23/2026
2025-2026,High School,3/20/2026
2025-2026,Middle School,7/3/2025
2025-2026,Middle School,1/2/2026
2025-2026,Middle School,1/26/2026
2025-2026,Middle School,5/1/2026
2025-2026,High School,3/27/2026
2025-2026,Elementary School,6/10/2026
2025-2026,Elementary School,4/13/2026
2025-2026,High School,3/15/2026
2025-2026,Middle School,5/26/2026
2025-2026,High School,5/2/2026
2025-2026,Middle School,6/15/2026
2025-2026,Middle School,4/25/2026
2025-2026,Elementary School,4/3/2026
2025-2026,Middle School,8/23/2025
2025-2026,Elementary School,5/10/2026
2025-2026,Elementary School,2/10/2026
2025-2026,Middle School,6/15/2026
2025-2026,High School,1/28/2026
2025-2026,Elementary School,7/13/2025
2025-2026,Elementary School,4/12/2026
2025-2026,Elementary School,5/28/2026
2025-2026,Elementary School,4/9/2026
2025-2026,Elementary School,4/22/2026
2025-2026,Elementary School,4/20/2026
2025-2026,Elementary School,4/13/2026
2025-2026,Elementary School,2/5/2026
2025-2026,High School,4/1/2026
2025-2026,Middle School,5/22/2026
2025-2026,Middle School,4/2/2026
2025-2026,High School,4/1/2026
2025-2026,Elementary School,11/14/2025
2025-2026,Elementary School,5/12/2026
2025-2026,Middle School,8/1/2025
2025-2026,High School,5/13/2026
2025-2026,Elementary School,5/3/2026
2025-2026,High School,3/19/2026
2025-2026,Middle School,6/8/2026
2025-2026,Elementary School,7/24/2025
2025-2026,Elementary School,4/21/2026
2025-2026,Elementary School,3/5/2026
2025-2026,Elementary School,7/24/2025
2025-2026,Middle School,6/21/2026
2025-2026,Middle School,5/21/2026
2025-2026,Middle School,3/19/2026
2025-2026,Elementary School,5/7/2026
2025-2026,Elementary School,4/7/2026
2025-2026,High School,7/9/2025
2025-2026,Elementary School,3/18/2026
2025-2026,Elementary School,4/18/2026
2025-2026,Middle School,4/5/2026
2025-2026,Middle School,6/26/2026
2025-2026,Elementary School,5/19/2026
2025-2026,Elementary School,7/5/2025
2025-2026,Elementary School,1/9/2026
2025-2026,Elementary School,8/28/2025
2025-2026,High School,6/5/2026
2025-2026,Elementary School,4/1/2026
2025-2026,Middle School,3/14/2026
2025-2026,Elementary School,6/22/2026
2025-2026,Elementary School,7/7/2025
2025-2026,Middle School,5/4/2026
2025-2026,Elementary School,3/26/2026
2025-2026,Middle School,5/16/2026
2025-2026,Middle School,11/28/2025
2025-2026,Elementary School,2/22/2026
2025-2026,High School,7/23/2025
2025-2026,High School,7/6/2025
2025-2026,Elementary School,5/28/2026
2025-2026,Elementary School,5/1/2026
2025-2026,Elementary School,5/22/2026
2025-2026,Middle School,3/8/2026
2025-2026,High School,6/7/2026
2025-2026,Elementary School,1/14/2026
2025-2026,Elementary School,5/13/2026
2025-2026,Middle School,7/13/2025
2025-2026,Middle School,5/11/2026
2025-2026,High School,4/13/2026
2025-2026,Middle School,5/15/2026
2025-2026,Elementary School,4/13/2026
2025-2026,Elementary School,7/11/2025
2025-2026,Middle School,5/26/2026
2025-2026,High School,5/25/2026
2025-2026,Middle School,4/16/2026
2025-2026,Middle School,6/15/2026
2025-2026,Elementary School,6/18/2026
2025-2026,Middle School,6/12/2026
2025-2026,Elementary School,4/12/2026
2025-2026,Elementary School,2/8/2026
2025-2026,Elementary School,8/7/2025
2025-2026,Elementary School,7/4/2025
2025-2026,Middle School,4/5/2026
2025-2026,Elementary School,3/7/2026
2025-2026,Elementary School,7/12/2025
2025-2026,Elementary School,4/6/2026
2025-2026,Middle School,4/1/2026
2025-2026,Elementary School,4/17/2026
2025-2026,Elementary School,5/23/2026
2025-2026,Elementary School,5/8/2026
2025-2026,Elementary School,4/16/2026
2025-2026,Elementary School,1/26/2026
2025-2026,Middle School,2/19/2026
2025-2026,Elementary School,1/22/2026
2025-2026,High School,9/4/2025
2025-2026,Elementary School,5/21/2026
2025-2026,Middle School,4/16/2026
2025-2026,High School,7/4/2025
2025-2026,Middle School,4/14/2026
2025-2026,High School,7/2/2025
2025-2026,Middle School,4/5/2026
2025-2026,Middle School,5/2/2026
2025-2026,Middle School,4/3/2026
2025-2026,Elementary School,6/21/2026
2025-2026,Middle School,4/7/2026
2025-2026,Elementary School,5/13/2026
2025-2026,High School,6/24/2026
2025-2026,Elementary School,7/27/2025
2025-2026,Middle School,6/9/2026
2025-2026,High School,7/25/2025
2025-2026,Middle School,6/21/2026
2025-2026,Middle School,4/5/2026
2025-2026,Middle School,5/28/2026
2025-2026,High School,7/4/2025
2025-2026,Elementary School,5/3/2026
2025-2026,Middle School,4/6/2026
2025-2026,Elementary School,3/25/2026
2025-2026,Elementary School,4/25/2026
2025-2026,Elementary School,5/15/2026
2025-2026,Middle School,6/15/2026
2025-2026,High School,5/27/2026
2025-2026,Elementary School,3/12/2026
2025-2026,High School,6/2/2026
2025-2026,High School,10/23/2025
2025-2026,Elementary School,7/3/2025
2025-2026,Middle School,5/21/2026
2025-2026,Elementary School,6/22/2026
2025-2026,Elementary School,7/12/2025
2025-2026,Elementary School,6/26/2026
2025-2026,Elementary School,6/18/2026
2025-2026,High School,4/12/2026
2025-2026,Elementary School,10/4/2025
2025-2026,High School,7/2/2025
2025-2026,Elementary School,6/3/2026
2025-2026,Elementary School,10/20/2025
2025-2026,Middle School,4/26/2026
2025-2026,High School,4/4/2026
2025-2026,Middle School,5/23/2026
2025-2026,High School,3/27/2026
2025-2026,Elementary School,7/22/2025
2025-2026,Middle School,5/17/2026
2025-2026,High School,7/6/2025
2025-2026,Elementary School,6/5/2026
2025-2026,Elementary School,6/17/2026
2025-2026,Middle School,4/14/2026
2025-2026,Elementary School,5/17/2026
2025-2026,Middle School,3/10/2026
2025-2026,High School,4/26/2026
2025-2026,Elementary School,2/8/2026
2025-2026,Elementary School,7/8/2025
2025-2026,Middle School,6/16/2026
2025-2026,Elementary School,3/11/2026
2025-2026,High School,5/14/2026
2025-2026,Middle School,5/4/2026
2025-2026,High School,4/28/2026
2025-2026,Middle School,8/6/2025
2025-2026,High School,5/6/2026
2025-2026,Middle School,5/21/2026
2025-2026,Elementary School,4/5/2026
2025-2026,Middle School,5/19/2026
2025-2026,Elementary School,9/22/2025
2025-2026,Elementary School,8/20/2025
2025-2026,Middle School,6/14/2026
2025-2026,Elementary School,4/26/2026
2025-2026,Elementary School,5/26/2026
2025-2026,Middle School,9/28/2025
2025-2026,Elementary School,2/8/2026
2025-2026,Elementary School,8/26/2025
2025-2026,Elementary School,7/5/2025
2025-2026,High School,5/15/2026
2025-2026,Elementary School,3/14/2026
2025-2026,Elementary School,6/17/2026
2025-2026,Middle School,7/25/2025
2025-2026,Elementary School,5/16/2026
2025-2026,Elementary School,6/13/2026
2025-2026,Elementary School,4/16/2026
2025-2026,Elementary School,3/12/2026
2025-2026,Elementary School,6/9/2026
2025-2026,High School,4/20/2026
2025-2026,Middle School,3/20/2026
2025-2026,Middle School,7/5/2025
2025-2026,Middle School,9/28/2025
2025-2026,High School,6/8/2026
2025-2026,Middle School,5/4/2026
2025-2026,Elementary School,4/14/2026
2025-2026,Elementary School,5/21/2026
2025-2026,Elementary School,5/8/2026
2025-2026,Elementary School,4/2/2026
2025-2026,Elementary School,4/21/2026
2025-2026,Elementary School,7/19/2025
2025-2026,Middle School,4/23/2026
2025-2026,Middle School,4/15/2026
2025-2026,Elementary School,5/17/2026
2025-2026,High School,2/28/2026
2025-2026,Elementary School,4/20/2026
2025-2026,High School,5/19/2026
2025-2026,Elementary School,7/19/2025
2025-2026,Elementary School,3/22/2026
2025-2026,Elementary School,7/2/2025
2025-2026,Elementary School,9/11/2025
2025-2026,Elementary School,6/23/2026
2025-2026,Elementary School,2/8/2026
2025-2026,Middle School,7/28/2025
2025-2026,Middle School,6/9/2026
2025-2026,Middle School,5/1/2026
2025-2026,Elementary School,6/9/2026
2025-2026,Middle School,6/26/2026
2025-2026,Middle School,6/9/2026
2025-2026,Elementary School,4/27/2026
2025-2026,Elementary School,7/15/2025
2025-2026,High School,5/6/2026
2025-2026,Middle School,6/25/2026
2025-2026,Elementary School,4/4/2026
2025-2026,High School,5/8/2026
2025-2026,Middle School,5/11/2026
2025-2026,Elementary School,5/14/2026
2025-2026,Middle School,4/5/2026
2025-2026,Elementary School,9/16/2025
2025-2026,Elementary School,4/25/2026
2025-2026,Elementary School,4/13/2026
2025-2026,Elementary School,5/12/2026
2025-2026,Elementary School,10/21/2025
2025-2026,Elementary School,6/16/2026
2025-2026,High School,4/26/2026
2025-2026,Elementary School,1/10/2026
2025-2026,Middle School,5/16/2026
2025-2026,High School,2/8/2026
2025-2026,Elementary School,10/6/2025
2025-2026,Elementary School,4/28/2026
2025-2026,Middle School,6/3/2026
2025-2026,Elementary School,3/16/2026
2025-2026,Middle School,5/2/2026
2025-2026,High School,4/20/2026
2025-2026,Elementary School,7/3/2025
2025-2026,Middle School,3/15/2026
2025-2026,Elementary School,6/15/2026
2025-2026,Elementary School,5/4/2026
2025-2026,Middle School,4/5/2026
2025-2026,Middle School,5/11/2026
2025-2026,High School,2/2/2026
2025-2026,High School,6/28/2026
2025-2026,High School,6/11/2026
2025-2026,Elementary School,7/10/2025
2025-2026,Elementary School,5/1/2026
2025-2026,Elementary School,11/3/2025
2025-2026,Elementary School,4/23/2026
2025-2026,Elementary School,5/26/2026
2025-2026,High School,1/14/2026
2025-2026,Elementary School,6/2/2026
2025-2026,High School,3/4/2026
2025-2026,Elementary School,4/14/2026
2025-2026,Elementary School,5/11/2026
2025-2026,Elementary School,5/25/2026
2025-2026,Middle School,4/26/2026
2025-2026,High School,6/21/2026
2025-2026,Elementary School,4/27/2026
2025-2026,Elementary School,9/3/2025
2025-2026,Elementary School,6/15/2026
2025-2026,Elementary School,8/16/2025
2025-2026,Elementary School,4/9/2026
2025-2026,High School,8/6/2025
2025-2026,Middle School,5/2/2026
2025-2026,High School,6/22/2026
2025-2026,Middle School,4/21/2026
2025-2026,High School,4/6/2026
2025-2026,High School,7/8/2025
2025-2026,Middle School,6/27/2026
2025-2026,Elementary School,5/2/2026
2025-2026,High School,5/26/2026
2025-2026,Elementary School,3/15/2026
2025-2026,High School,5/21/2026
2025-2026,Middle School,5/21/2026
2025-2026,Elementary School,3/14/2026
2025-2026,Elementary School,3/23/2026
2025-2026,High School,6/20/2026
2025-2026,Elementary School,5/16/2026
2025-2026,High School,2/23/2026
2025-2026,High School,8/21/2025
2025-2026,Elementary School,1/24/2026
2025-2026,Middle School,4/15/2026
2025-2026,Middle School,7/12/2025
2025-2026,Elementary School,5/2/2026
2025-2026,Elementary School,6/18/2026
2025-2026,High School,4/7/2026
2025-2026,Elementary School,5/23/2026
2025-2026,Elementary School,5/7/2026
2025-2026,Middle School,5/19/2026
2025-2026,High School,4/9/2026
2025-2026,Elementary School,7/28/2025
2025-2026,Elementary School,5/3/2026
2025-2026,High School,6/5/2026
2025-2026,Elementary School,1/15/2026
2025-2026,Elementary School,4/4/2026
2025-2026,Middle School,2/2/2026
2025-2026,Elementary School,5/1/2026
2025-2026,Elementary School,5/25/2026
2025-2026,Elementary School,6/20/2026
2025-2026,High School,6/9/2026
2025-2026,Elementary School,5/19/2026
2025-2026,High School,7/14/2025
2025-2026,Elementary School,2/25/2026
2025-2026,Middle School,5/16/2026
2025-2026,Elementary School,5/3/2026
2025-2026,Elementary School,4/9/2026
2025-2026,Elementary School,6/18/2026
2025-2026,Elementary School,5/17/2026
2025-2026,Elementary School,5/20/2026
2025-2026,Elementary School,8/20/2025
2025-2026,Middle School,4/19/2026
2025-2026,Elementary School,1/5/2026
2025-2026,Elementary School,12/23/2025
2025-2026,High School,4/27/2026
2025-2026,High School,3/23/2026
2025-2026,Elementary School,4/10/2026
2025-2026,Elementary School,3/13/2026
2025-2026,Elementary School,6/19/2026
2025-2026,Elementary School,4/10/2026
2025-2026,Middle School,6/13/2026
2025-2026,Middle School,2/10/2026
2025-2026,Elementary School,5/19/2026
2025-2026,Middle School,5/13/2026
2025-2026,High School,5/10/2026
2025-2026,Elementary School,7/8/2025
2025-2026,Middle School,6/26/2026
2025-2026,Middle School,5/17/2026
2025-2026,Elementary School,6/3/2026
2025-2026,Elementary School,4/15/2026
2025-2026,High School,7/10/2025
2025-2026,Elementary School,5/4/2026
2025-2026,High School,4/2/2026
2025-2026,Elementary School,5/20/2026
2025-2026,Middle School,5/5/2026
2025-2026,Elementary School,6/16/2026
2025-2026,High School,6/25/2026
2025-2026,High School,1/10/2026
2025-2026,High School,7/5/2025
2025-2026,Middle School,3/12/2026
2025-2026,Middle School,7/15/2025
2025-2026,Middle School,4/26/2026
2025-2026,High School,6/24/2026
2025-2026,High School,4/17/2026
2025-2026,High School,7/19/2025
2025-2026,Elementary School,5/3/2026
2025-2026,Middle School,4/27/2026
2025-2026,Elementary School,4/26/2026
2025-2026,High School,5/14/2026
2025-2026,Elementary School,6/19/2026
2025-2026,Middle School,5/8/2026
2025-2026,Middle School,6/21/2026
2025-2026,High School,8/10/2025
2025-2026,Elementary School,5/17/2026
2025-2026,Middle School,5/2/2026
2025-2026,Elementary School,7/8/2025
2025-2026,Elementary School,8/20/2025
2025-2026,Elementary School,5/20/2026
2025-2026,Elementary School,5/28/2026
2025-2026,Elementary School,4/16/2026
2025-2026,Elementary School,2/23/2026
2025-2026,Elementary School,4/19/2026
2025-2026,Elementary School,1/21/2026
2025-2026,High School,3/21/2026
2025-2026,Elementary School,5/2/2026
2025-2026,High School,6/14/2026
2025-2026,Middle School,6/28/2026
2025-2026,Middle School,4/22/2026
2025-2026,High School,6/12/2026
2025-2026,High School,5/6/2026
2025-2026,Elementary School,5/18/2026
2025-2026,Middle School,5/18/2026
2025-2026,Elementary School,4/17/2026
2025-2026,Middle School,7/3/2025
2025-2026,Middle School,6/2/2026
2025-2026,Middle School,2/26/2026
